ind,type,start,bl1,bs1,dir1,dist1,bl2,bs2,dir2,dist2,walk
57085,2,399,L21,401,2,3514,L66,1,2,8266,1332
57085,2,399,L21,402,2,4271,L66,1,2,9071,852
57085,2,399,L9,18,1,6262,L1,1,1,0,427
57085,2,399,L9,65,1,5660,L1,1,2,2722,1032
57085,2,399,L9,65,1,5660,L16,1,2,3431,1032
57085,2,399,L9,1691,1,10530,L2,1,2,3893,1060
57085,2,399,L9,1692,1,11213,L2,1,2,3070,967
57085,2,399,L9,1331,1,8877,L4,1,2,5657,981
57085,2,399,L9,1329,1,8147,L4,1,2,4389,484
57085,2,399,L9,313,1,7328,L4,1,2,3713,784
57085,2,399,L9,311,1,6660,L4,1,2,2840,796
57085,2,399,L9,58,1,1214,L14,1,2,6511,1112
57085,2,399,L21,304,2,9005,L11,2,1,10126,1426
57085,2,399,L21,303,2,8498,L11,2,1,9422,864
57085,2,399,L21,307,2,9938,L12,2,2,8173,1564
57085,2,399,L21,308,2,10260,L12,2,2,7584,1600
57085,2,399,L21,44,2,2188,L10,32,2,8699,1452
57085,2,399,L21,43,2,1690,L10,32,2,7961,1094
57085,2,399,L21,42,2,1089,L10,32,2,7246,1419
57085,2,399,L21,402,2,4271,L14,32,2,8880,1578
57085,2,399,L21,42,2,1089,L5,32,2,6754,2347
57085,2,399,L21,42,2,1089,L66,32,2,6796,2379
57085,2,399,L21,400,2,2841,L5,32,2,7953,1575
57085,2,399,L21,401,2,3514,L66,32,2,8266,1999
57085,2,399,L21,402,2,4271,L66,32,2,9071,1519
57085,2,399,L9,18,1,6262,L1,32,1,0,1094
57085,2,399,L9,65,1,5660,L1,32,2,2722,1699
57085,2,399,L9,311,1,6660,L12,32,1,3652,1799
57085,2,399,L9,18,1,6262,L12,32,1,2724,1309
57085,2,399,L9,311,1,6660,L15,32,2,5738,1799
57085,2,399,L9,18,1,6262,L15,32,2,2637,1394
57085,2,399,L9,65,1,5660,L16,32,2,3431,1699
57085,2,399,L9,1691,1,10530,L17,32,2,3768,1721
57085,2,399,L9,311,1,6660,L17,32,2,2488,1737
57085,2,399,L9,18,1,6262,L17,32,2,1410,1309
57085,2,399,L9,1691,1,10530,L2,32,2,3893,1727
