bl1,bl2,bs1,bs2,dir1,dir2,condist
L12,L18,136,326,2,2,638
L12,L18,18,180,2,2,395
L12,L18,144,111,2,2,420
L12,L19,66,18,1,1,215
L12,L19,32,2,1,1,409
L12,L19,86,86,1,1,0
L12,L19,32,1,1,2,666
L12,L19,79,89,2,1,394
L12,L19,2,2,2,1,0
L12,L19,18,18,2,1,0
L12,L19,80,80,2,2,0
L12,L2,32,338,1,1,444
L12,L2,32,361,1,2,645
L12,L2,2,338,2,1,430
L12,L2,2,32,2,2,409
L12,L20,85,85,1,1,0
L12,L20,85,84,1,2,160
L12,L20,136,326,2,1,638
L12,L20,136,307,2,2,605
L12,L21,90,90,1,1,0
L12,L21,89,79,1,2,394
L12,L21,136,326,2,1,638
L12,L21,136,307,2,2,605
L12,L22,17,180,1,1,213
L12,L22,17,180,1,2,213
L12,L22,18,180,2,1,395
L12,L22,18,180,2,2,395
L12,L23,17,180,1,1,213
L12,L23,17,180,1,2,213
L12,L23,18,180,2,1,395
L12,L23,18,180,2,2,395
L12,L24,32,506,1,1,732
L12,L24,32,506,1,2,732
L12,L24,2,506,2,1,786
L12,L24,2,506,2,2,786
L12,L25,32,506,1,1,732
L12,L25,32,506,1,2,732
L12,L25,2,506,2,1,786
L12,L25,2,506,2,2,786
L12,L26,17,619,1,1,176
L12,L26,17,619,1,2,176
L12,L26,18,619,2,1,220
L12,L26,18,619,2,2,220
L12,L261,17,619,1,1,176
L12,L261,17,619,1,2,176
L12,L261,18,619,2,1,220
L12,L261,18,619,2,2,220
L12,L262,17,619,1,1,176
L12,L262,17,619,1,2,176
L12,L262,18,619,2,1,220
L12,L262,18,619,2,2,220
L12,L27,17,180,1,1,213
L12,L27,17,180,1,2,213
L12,L27,18,180,2,1,395
L12,L27,18,180,2,2,395
L12,L28,17,771,1,1,226
L12,L28,17,771,1,2,226
L12,L28,18,771,2,1,74
L12,L28,18,771,2,2,74
L12,L3,66,18,1,1,215
L12,L3,66,66,1,2,0
L12,L3,2,2,2,1,0
L12,L3,2,32,2,2,409
L12,L33,32,506,1,1,732
L12,L33,88,88,1,1,0
L12,L33,32,506,1,2,732
L12,L33,88,81,1,2,36
L12,L33,130,998,2,1,145
L12,L33,2,506,2,1,786
L12,L33,131,131,2,2,0
L12,L33,2,506,2,2,786
L12,L35,32,506,1,1,732
L12,L35,32,506,1,2,732
L12,L35,2,506,2,1,786
L12,L35,2,506,2,2,786
L12,L36,110,1160,1,1,172
L12,L36,17,311,1,1,495
L12,L36,111,111,1,2,0
L12,L36,17,322,1,2,442
L12,L36,18,619,2,1,220
L12,L36,144,144,2,1,0
L12,L36,18,619,2,2,220
L12,L36,144,111,2,2,420
L12,L38,110,1160,1,1,172
L12,L38,13,22,1,1,185
L12,L38,110,1268,1,2,189
L12,L38,13,13,1,2,0
L12,L38,18,18,2,1,0
L12,L38,141,1181,2,1,482
L12,L38,18,18,2,2,0
L12,L38,143,1269,2,2,941
L12,L4,17,311,1,1,495
L12,L4,17,322,1,2,442
L12,L4,2,2,2,1,0
L12,L4,2,32,2,2,409
L12,L43,66,18,1,1,215
L12,L43,66,18,1,2,215
L12,L43,18,18,2,1,0
L12,L43,18,18,2,2,0
L12,L44,114,216,1,1,767
L12,L44,13,22,1,1,185
L12,L44,114,221,1,2,767
L12,L44,13,13,1,2,0
L12,L44,18,1508,2,1,261
L12,L44,141,216,2,1,785
L12,L44,18,17,2,2,300
L12,L44,20,14,2,2,1054
L12,L44,141,221,2,2,785
L12,L441,114,1578,1,1,767
L12,L441,13,1576,1,1,233
L12,L441,114,1626,1,2,760
L12,L441,13,1628,1,2,61
L12,L441,18,1508,2,1,261
L12,L441,141,1578,2,1,785
L12,L441,18,17,2,2,300
L12,L441,141,1626,2,2,778
L12,L45,32,506,1,1,732
L12,L45,32,506,1,2,732
L12,L45,2,506,2,1,786
L12,L45,2,506,2,2,786
L12,L5,66,18,1,1,215
L12,L5,66,66,1,2,0
L12,L5,2,2,2,1,0
L12,L5,2,32,2,2,409
L12,L6,66,18,1,1,215
L12,L6,66,66,1,2,0
L12,L6,2,2,2,1,0
L12,L6,2,32,2,2,409
L12,L66,66,18,1,1,215
L12,L66,66,66,1,2,0
L12,L66,2,2,2,1,0
L12,L66,2,32,2,2,409
L12,L7,105,171,1,1,257
L12,L7,105,172,1,2,248
L12,L7,144,144,2,1,0
L12,L7,144,111,2,2,420
L12,L9,17,311,1,1,495
L12,L9,17,322,1,2,442
L12,L9,18,18,2,1,0
L12,L9,18,180,2,2,395
L12,251,32,506,1,1,732
L12,251,32,506,1,2,732
L12,251,2,506,2,1,786
L12,251,2,506,2,2,786
L13,L14,59,189,1,1,320
L13,L14,59,214,1,2,367
L13,L14,17,18,2,1,300
L13,L14,17,66,2,2,515
L13,L15,18,18,1,1,0
L13,L15,18,66,1,2,215
L13,L15,13,22,2,1,185
L13,L15,13,13,2,2,0
L13,L16,65,5,1,1,505
L13,L16,65,29,1,2,605
L13,L16,17,18,2,1,300
L13,L16,17,66,2,2,515
L13,L17,18,18,1,1,0
L13,L17,18,66,1,2,215
L13,L17,17,18,2,1,300
L13,L17,17,297,2,2,401
L13,L18,63,310,1,1,364
L13,L18,162,163,1,1,407
L13,L18,63,323,1,2,347
L13,L18,162,175,1,2,420
L13,L18,17,311,2,1,495
L13,L18,17,322,2,2,442
L13,L19,63,336,1,1,264
L13,L19,17,18,2,1,300
L13,L21,54,397,1,1,361
L13,L21,54,400,1,2,351
L13,L21,42,57,2,1,0
L13,L21,42,42,2,2,0
L13,L22,157,411,1,1,607
L13,L22,57,407,1,1,826
L13,L22,157,459,1,2,659
L13,L22,57,463,1,2,1746
L13,L22,180,180,2,1,0
L13,L22,181,410,2,1,356
L13,L22,180,180,2,2,0
L13,L22,181,460,2,2,1112
L13,L23,65,5,1,1,505
L13,L23,65,29,1,2,605
L13,L23,180,180,2,1,0
L13,L23,180,180,2,2,0
L13,L26,18,619,1,1,220
L13,L26,18,619,1,2,220
L13,L26,17,619,2,1,176
L13,L26,17,619,2,2,176
L13,L261,18,619,1,1,220
L13,L261,18,619,1,2,220
L13,L261,17,619,2,1,176
L13,L261,17,619,2,2,176
L13,L262,18,619,1,1,220
L13,L262,18,619,1,2,220
L13,L262,17,619,2,1,176
L13,L262,17,619,2,2,176
L13,L27,52,741,1,1,127
L13,L27,57,407,1,1,826
L13,L27,52,767,1,2,127
L13,L27,57,463,1,2,1746
L13,L27,180,180,2,1,0
L13,L27,181,410,2,1,356
L13,L27,180,180,2,2,0
L13,L27,181,460,2,2,1112
L13,L28,18,771,1,1,74
L13,L28,18,771,1,2,74
L13,L28,17,771,2,1,226
L13,L28,17,771,2,2,226
L13,L3,65,5,1,1,505
L13,L3,65,29,1,2,605
L13,L3,17,18,2,1,300
L13,L3,17,66,2,2,515
L13,L3,36,987,2,2,924
L13,L30,61,992,1,1,592
L13,L30,61,995,1,2,592
L13,L30,35,991,2,1,332
L13,L30,35,991,2,2,332
L13,L36,18,619,1,1,220
L13,L36,162,178,1,1,535
L13,L36,167,167,1,1,0
L13,L36,18,619,1,2,220
L13,L36,162,162,1,2,0
L13,L36,166,175,1,2,1335
L13,L36,110,1160,2,1,172
L13,L36,178,178,2,1,0
L13,L36,17,311,2,1,495
L13,L36,111,111,2,2,0
L13,L36,178,162,2,2,535
L13,L36,17,322,2,2,442
L13,L38,18,18,1,1,0
L13,L38,144,1160,1,1,282
L13,L38,18,18,1,2,0
L13,L38,144,1268,1,2,341
L13,L38,110,1160,2,1,172
L13,L38,13,22,2,1,185
L13,L38,110,1268,2,2,189
L13,L38,13,13,2,2,0
L13,L4,18,18,1,1,0
L13,L4,18,66,1,2,215
L13,L4,17,311,2,1,495
L13,L4,17,322,2,2,442
L13,L43,157,411,1,1,607
L13,L43,57,407,1,1,826
L13,L43,157,459,1,2,659
L13,L43,57,463,1,2,1746
L13,L43,17,18,2,1,300
L13,L43,181,410,2,1,356
L13,L43,17,18,2,2,300
L13,L43,181,460,2,2,1112
L13,L44,18,1508,1,1,261
L13,L44,18,17,1,2,300
L13,L44,20,14,1,2,1054
L13,L44,13,22,2,1,185
L13,L44,13,13,2,2,0
L13,L441,18,1508,1,1,261
